Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B09XDK75X8,,18-A1VZ-RUUF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B072R5FX7T,,53-F3V2-POJV,INR,521.9,2,0,2,1043.8,1043.8,40.12,2.0,80.24,,,,285.56,1.0,285.56,,,,51.73,2.0,103.46,,,,,,574.54,287.27
IN,10/01/2025,10/31/2025,B0DG5RX3VV,B09XJ6XK99,,6H-1D2P-W0II,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B071XC7S5K,,74-FB2A-AD9Q,INR,521.9,69,11,58,36011.1,30346.4,112.1,6.0,672.6,83.78,11.0,921.58,143.96,46.0,6622.16,-51.73,11.0,-569.03,51.73,67.0,3465.91,4.99824,608.0,3038.93,,,13466.09,232.173966
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B09XDK9RMF,,A1-7PQ3-FGI3,INR,569.52,1,0,1,569.52,569.52,40.12,1.0,40.12,,,,,,,,,,56.45,1.0,56.45,,,,,,472.95,472.95
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B0BXTC6NZ6,,Aash_Star,INR,573.201071,28,0,28,16049.63,16049.63,40.12,28.0,1123.36,,,,143.96,20.0,2879.2,,,,56.82963,27.0,1534.4,5.334818,137.0,730.87,,,9781.8,349.35
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B0C8KRVBJ2,,ADSRFP227-G,INR,950.48,1,0,1,950.48,950.48,40.12,1.0,40.12,,,,,,,,,,94.21,1.0,94.21,,,,,,816.15,816.15
IN,10/01/2025,10/31/2025,B0DG5V58HL,B0D58M7SZS,,BFC360,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG8ZQXLK,B0DG935VWV,,BFC360MBP,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG8ZQXLK,B0DG8ZFJ4F,,BFCAMBP,INR,474.285,2,1,1,948.57,474.29,82.6,1.0,82.6,,,,100.3,2.0,200.6,-29.38,1.0,-29.38,29.38,2.0,58.76,,,,,,135.75,135.75
IN,10/01/2025,10/31/2025,B0DG8ZQXLK,B0DG93125K,,BFCAOF,INR,474.29,2,0,2,948.58,948.58,12.98,2.0,25.96,,,,100.3,2.0,200.6,,,,29.38,2.0,58.76,,,,,,663.26,331.63
IN,10/01/2025,10/31/2025,B0DG5V58HL,B0D58K5WFC,,BFCSMNB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5V58HL,B0D58JV7XY,,BFCSMRC,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG8ZQXLK,B0DG92WXGM,,BFFMBP,INR,950.48,1,0,1,950.48,950.48,40.12,1.0,40.12,,,,,,,,,,153.09,1.0,153.09,,,,,,757.27,757.27
IN,10/01/2025,10/31/2025,B09SYYJ29Z,B09SYYJ29Z,,Blue Heart Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B09SYYMYLB,B09SYYMYLB,,Blue Heart Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B0BXTDF5RC,,Blue_Star,INR,569.52,5,2,3,2847.6,1746.66,112.1,1.0,112.1,83.78,2.0,167.56,143.96,1.0,143.96,-56.45,2.0,-112.9,56.45,5.0,282.25,4.837222,18.0,87.07,,,866.02,288.673333
IN,10/01/2025,10/31/2025,B09SYYLMX9,B09SYYLMX9,,Blue Star Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5RZRL3,B07HX47XN2,,BNB2217CBB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B072KMS8CZ,B072KMS8CZ,,BSCB221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5SFDJY,B07NYCKFPF,,CBELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B07NLG1JLL,B07NLG1JLL,,CBHMFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B07NZ1GG98,,CBRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5S6GRX,B07P13BXZX,,CBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,3.0,2.0,6.0,,,-6.0,
IN,10/01/2025,10/31/2025,B07NLG2RWW,B07NLG2RWW,,CBRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B07NLGQG9Y,B07NLGQG9Y,,CBRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,10/01/2025,10/31/2025,B0DG5SW8HY,B0C8PTH3QF,,CRODA227-B,INR,668.407553,94,13,81,62830.31,54378.93,112.1,2.0,224.2,127.44,10.0,1274.4,143.96,69.0,9933.24,-49.42,13.0,-642.46,49.68023,87.0,4322.18,4.748596,520.0,2469.27,,,33026.82,407.738519
