Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category	Order Item ID
404-0219719-4306770	26-Oct-2025	31-Oct-2025	Approved	D99fbVJtRRMA	 	AmazonPrePaidLabel	184.00	INR	ATS	514793939237	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	06-Nov-2025	778.00	1	 	 	 	 	 	778.00	Baby Product	24417687755875
402-0201872-6538772	22-Oct-2025	31-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364565199921	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-185	04-Nov-2025	 	 	 	 	 	 	 	 	Baby Product	27376682588227
403-9558293-3900348	23-Oct-2025	31-Oct-2025	Approved	DDzsb2JNRRMA	 	AmazonPrePaidLabel	115.00	INR	ATS	514793171989	Seller	N	N	B09SLJRMMM	WPPS2277	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Pink Star)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	06-Nov-2025	499.00	1	 	 	 	 	 	499.00	Home	15880090183467
402-4423298-2497950	20-Oct-2025	31-Oct-2025	Approved	DNTFbGJKRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514793135202	Seller	N	N	B09WLF9LY8	PMW227	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	10-Nov-2025	499.00	1	 	 	 	 	 	499.00	Home	55688064343795
408-0812948-7215545	23-Oct-2025	30-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364586811406	Not Computed	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-193	04-Nov-2025	 	 	 	 	 	 	 	 	Baby Product	23955915879179
403-7389011-3028343	15-Oct-2025	29-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	13371923850154	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-50	06-Nov-2025	 	 	 	 	 	 	 	 	Baby Product	43587464283923
403-8230551-1844352	26-Oct-2025	29-Oct-2025	Approved	DXRpbxJgRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514791224335	Seller	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	04-Nov-2025	498.00	1	 	 	 	 	 	498.00	Home	10841128825963
402-4613503-0637921	25-Oct-2025	29-Oct-2025	Approved	DGRjblJPRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514791604564	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	698.00	1	 	 	 	 	 	 	Baby Product	59738949407931
402-9421276-0241167	24-Oct-2025	29-Oct-2025	Approved	DlnQb2J5RRMA	 	AmazonPrePaidLabel	115.00	INR	ATS	514790987910	Seller	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	04-Nov-2025	498.00	1	 	 	 	 	 	498.00	Home	14994308188827
407-3472096-5342735	20-Oct-2025	29-Oct-2025	Approved	DXnFb8JSRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514790986753	Seller	N	N	B0D58K92GN	FFPNBP	GET IT Premium Baby Breast Feeding Pillow with Detachable Cover | Newborn Nursing Pillow with Zip Buckle Adjustment | Infant Support for Baby and Mom Breastfeeding-Navy Blue Print	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	RefundAtFirstScan	IN-133	04-Nov-2025	998.00	1	 	 	 	 	 	990.17	Baby Product	62270781484923
