Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B09XDK75X8,,18-A1VZ-RUUF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B072R5FX7T,,53-F3V2-POJV,INR,0.0,0,0,0,0.0,0.0,,,,285.56,1.0,285.56,,,,,,,5.19,3.0,15.57,,,-301.13,
IN,01/01/2026,01/31/2026,B0DG5RX3VV,B09XJ6XK99,,6H-1D2P-W0II,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B071XC7S5K,,74-FB2A-AD9Q,INR,479.413462,26,5,21,12464.75,9910.48,110.625,4.0,442.5,148.135385,26.0,3851.52,,,,0.0,26.0,0.0,4.688723,423.0,1983.33,,,3132.81,149.181429
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B09XDK9RMF,,A1-7PQ3-FGI3,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,5.375,2.0,10.75,,,-10.75,
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0BXTC6NZ6,,Aash_Star,INR,507.272333,30,2,28,15218.17,14077.21,118.0,2.0,236.0,150.633103,29.0,4368.36,,,,0.0,30.0,0.0,5.192825,308.0,1599.39,,,7158.38,255.656429
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0C8KRVBJ2,,ADSRFP227-G,INR,688.57,8,3,5,5508.56,3419.04,115.05,2.0,230.1,105.02,8.0,840.16,,,,0.0,8.0,0.0,3.395,2.0,6.79,,,2021.03,404.206
IN,01/01/2026,01/31/2026,B0DG5V58HL,B0D58M7SZS,,BFC360,INR,742.86,1,0,1,742.86,742.86,40.12,1.0,40.12,105.02,1.0,105.02,,,,0.0,1.0,0.0,,,,,,597.72,597.72
IN,01/01/2026,01/31/2026,B0DG8ZQXLK,B0DG935VWV,,BFC360MBP,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG8ZQXLK,B0DG8ZFJ4F,,BFCAMBP,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG8ZQXLK,B0DG93125K,,BFCAOF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5V58HL,B0D58K5WFC,,BFCSMNB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
