Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B09XDK75X8,,18-A1VZ-RUUF,INR,569.52,1,0,1,569.52,569.52,,,,,,,,,,,,,,,,,,,,,569.52,569.52
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B072R5FX7T,,53-F3V2-POJV,INR,521.9,2,0,2,1043.8,1043.8,40.12,2.0,80.24,,,,285.56,3.0,856.68,,,,25.865,2.0,51.73,,,,,,55.15,27.575
IN,11/01/2025,11/30/2025,B0DG5RX3VV,B09XJ6XK99,,6H-1D2P-W0II,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B071XC7S5K,,74-FB2A-AD9Q,INR,523.853846,39,9,30,20430.3,15733.2,112.1,4.0,448.4,,,,142.55134,52.0,7412.6697,-51.73,9.0,-465.57,50.597179,39.0,1973.29,4.739016,315.0,1492.79,,,3306.9403,110.231343
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B09XDK9RMF,,A1-7PQ3-FGI3,INR,0.0,0,0,0,0.0,0.0,,,,83.78,1.0,83.78,,,,,,,,,,,,,,,-83.78,
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0BXTC6NZ6,,Aash_Star,INR,567.118529,34,8,26,19282.03,14718.19,112.1,5.0,560.5,,,,143.96,38.0,5470.48,-56.55,7.0,-395.85,36.257647,34.0,1232.76,5.297663,291.0,1541.62,,,4944.6,190.176923
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0C8KRVBJ2,,ADSRFP227-G,INR,950.48,2,1,1,1900.96,988.58,40.12,2.0,80.24,83.78,1.0,83.78,100.3,2.0,200.6,-94.21,1.0,-94.21,47.105,2.0,94.21,,,,,,623.96,623.96
IN,11/01/2025,11/30/2025,B0DG5V58HL,B0D58M7SZS,,BFC360,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG8ZQXLK,B0DG935VWV,,BFC360MBP,INR,474.29,1,0,1,474.29,474.29,12.98,1.0,12.98,,,,100.3,1.0,100.3,,,,29.38,1.0,29.38,,,,,,331.63,331.63
IN,11/01/2025,11/30/2025,B0DG8ZQXLK,B0DG8ZFJ4F,,BFCAMBP,INR,474.29,1,0,1,474.29,474.29,12.98,1.0,12.98,,,,,,,,,,0.0,1.0,0.0,,,,,,461.31,461.31
