Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B09XDK75X8,,18-A1VZ-RUUF,INR,0.0,-1,0,-1,-569.52,-569.52,,,,,,,,,,,,,,,,,,-569.52,569.52
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B072R5FX7T,,53-F3V2-POJV,INR,521.9,2,0,2,1043.8,1043.8,40.12,2.0,80.24,285.56,1.0,285.56,,,,0.0,2.0,0.0,,,,,,678.0,339.0
IN,12/01/2025,12/31/2025,B0DG5RX3VV,B09XJ6XK99,,6H-1D2P-W0II,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B071XC7S5K,,74-FB2A-AD9Q,INR,524.722222,27,1,26,14167.5,13645.6,112.1,1.0,112.1,143.96,25.0,3599.0,,,,0.0,27.0,0.0,4.794632,367.0,1759.63,,,7091.63,272.755
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B09XDK9RMF,,A1-7PQ3-FGI3,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B0BXTC6NZ6,,Aash_Star,INR,575.901923,26,7,19,14973.45,10980.09,112.1,6.0,672.6,143.96,27.0,3886.92,,,,0.0,26.0,0.0,5.249503,342.0,1795.33,,,3582.12,188.532632
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B0C8KRVBJ2,,ADSRFP227-G,INR,760.0,3,0,3,2280.0,2280.0,40.12,3.0,120.36,100.3,3.0,300.9,,,,0.0,3.0,0.0,,,,,,1858.74,619.58
IN,12/01/2025,12/31/2025,B0DG5V58HL,B0D58M7SZS,,BFC360,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG8ZQXLK,B0DG935VWV,,BFC360MBP,INR,474.29,1,1,0,474.29,0.0,82.6,1.0,82.6,100.3,1.0,100.3,,,,0.0,1.0,0.0,,,,,,-195.88,
IN,12/01/2025,12/31/2025,B0DG8ZQXLK,B0DG8ZFJ4F,,BFCAMBP,INR,474.285,2,1,1,948.57,474.29,82.6,1.0,82.6,100.3,3.0,300.9,,,,0.0,2.0,0.0,,,,,,64.83,64.83
IN,12/01/2025,12/31/2025,B0DG8ZQXLK,B0DG93125K,,BFCAOF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V58HL,B0D58K5WFC,,BFCSMNB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V58HL,B0D58JV7XY,,BFCSMRC,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG8ZQXLK,B0DG92WXGM,,BFFMBP,INR,950.48,3,0,3,2851.44,2851.44,40.12,3.0,120.36,100.3,3.0,300.9,,,,0.0,3.0,0.0,,,,,,2430.18,810.06
IN,12/01/2025,12/31/2025,B09SYYJ29Z,B09SYYJ29Z,,Blue Heart Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B09SYYMYLB,B09SYYMYLB,,Blue Heart Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B0BXTDF5RC,,Blue_Star,INR,569.52,3,1,2,1708.56,1139.04,112.1,1.0,112.1,143.96,3.0,431.88,,,,0.0,3.0,0.0,5.011667,30.0,150.35,,,324.35,162.175
