Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category	Order Item ID
405-4608726-3674722	26-Jan-2026	31-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366835982868	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-2011	03-Feb-2026	 	 	 	 	 	 	 	 	Baby Product	37416257235331
408-7841782-4438744	21-Jan-2026	31-Jan-2026	Approved	D6nk7ZJ1RRMA	 	AmazonPrePaidLabel	621.00	INR	ATS	514920587218	Seller	N	N	B07NKSDNRC	DUP- Wedge03	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Pink with Beige)	1	CR-NOT_COMPATIBLE	Y	C-Returns	RefundAtFirstScan	IN-1920	09-Feb-2026	599.00	1	 	 	 	 	 	599.00	Baby Product	36542944437339
171-4841966-3493904	26-Jan-2026	31-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366835950034	Not Computed	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-2017	02-Feb-2026	 	 	 	 	 	 	 	 	Baby Product	35252562865043
405-0632470-7875561	28-Jan-2026	31-Jan-2026	Approved	D9P27NJxRRMA	 	AmazonPrePaidLabel	448.50	INR	ATS	514920099506	Seller	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	02-Feb-2026	578.00	1	 	 	 	 	 	578.00	Home	07418447760043
402-1358886-4302742	27-Jan-2026	30-Jan-2026	Approved	DN5cL7JsRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514919557659	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	NEVER_ARRIVED	Y	Amazon CS	RefundAtFirstScan	 	03-Feb-2026	698.00	1	 	 	 	 	 	698.00	Baby Product	69080320649787
402-1358886-4302742	27-Jan-2026	30-Jan-2026	Approved	Dn5cLkJYRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514920113387	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	 	698.00	1	 	 	 	 	 	 	Baby Product	69080320649787
405-4134778-3032358	23-Jan-2026	29-Jan-2026	Approved	DGmWLDJNRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514918788573	Seller	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	10-Feb-2026	698.00	1	 	 	 	 	 	703.80	Baby Product	11876057241307
403-1489343-2236361	23-Jan-2026	29-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366782253707	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-1956	31-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	32980459244803
406-7044772-3001935	18-Jan-2026	29-Jan-2026	Approved	Dn70LJJjRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514918344663	Seller	N	N	B09WLF9LY8	PMW227	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	11-Feb-2026	499.00	1	 	 	 	 	 	499.00	Home	60343216638275
403-9725326-2126728	17-Jan-2026	29-Jan-2026	Approved	DDg6LNJJRRMA	 	AmazonPrePaidLabel	115.00	INR	ATS	514917923463	Seller	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	CR-NOT_COMPATIBLE	Y	C-Returns	RefundAtFirstScan	 	03-Feb-2026	498.00	1	 	 	 	 	 	498.00	Home	30632322645355
405-8329974-4144338	21-Jan-2026	29-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366706820831	Not Computed	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1910	02-Feb-2026	 	 	 	 	 	 	 	 	Baby Product	05192862831971
402-5124484-9149967	19-Jan-2026	28-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366677334610	Not Computed	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1875	02-Feb-2026	 	 	 	 	 	 	 	 	Home	64005335811451
403-5273954-7225907	21-Jan-2026	28-Jan-2026	Approved	DMQDLfJhRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514916422547	Seller	N	N	B0D58KHFXT	FPPNBP-2in1	GET IT Premium 2 in 1 Baby Breast Feeding Foam Pillow with Detachable Cover | Newborn Nursing Pillow with Zip Buckle Adjustment | Infant Support for Baby and Mom Breastfeeding- Foam Navy Blue Print	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	IN-1925	04-Feb-2026	998.00	1	 	 	 	 	 	998.00	Baby Product	33221155208475
406-2899850-3485919	10-Jan-2026	28-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366489651219	Not Computed	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1744	02-Feb-2026	 	 	 	 	 	 	 	 	Home	23521003841883
403-0382738-8425159	19-Jan-2026	26-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366677312670	Not Computed	N	N	B0C8KRVBJ2	ADSRFP227-G	GET IT Premium 2 in 1 Dry Sheet Cotton Baby Breastfeeding Pillow with Adjustable Strap | Nursing Pillow, Baby Support & Playtime | Washable Cover with Zip -(Grey)	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-1874	31-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	67646508803363
408-7954141-7786726	23-Jan-2026	26-Jan-2026	Approved	DnrdLBJWRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514914261186	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	IN-1953	28-Jan-2026	 	1	 	 	 	 	 	 	Baby Product	39481324420755
404-1938339-0225129	22-Jan-2026	26-Jan-2026	Approved	D9RSLXJbRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514913558492	Seller	N	N	B09WLF9LY8	PMW227	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	1	CR-NOT_COMPATIBLE	Y	C-Returns	RefundAtFirstScan	 	31-Jan-2026	579.00	1	 	 	 	 	 	579.00	Home	49332940419403
402-7477709-6508316	19-Jan-2026	25-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366649888615	Not Computed	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-1870	28-Jan-2026	 	 	 	 	 	 	 	 	Home	42674303878859
405-1753070-4439547	18-Jan-2026	25-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366649889964	Not Computed	N	N	B07NLFYVQL	RLRP222	GET IT Long Body Rectangular Microfiber Pillow (Red, 20"x72" inches (i.e 50x180 Cms) [6 ft Long])	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1854	28-Jan-2026	 	 	 	 	 	 	 	 	Home	04605997460283
404-1498038-3725167	18-Jan-2026	25-Jan-2026	Approved	D1vZs9JJRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514912875873	Seller	N	N	B07NKSDNRC	DUP- Wedge03	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Pink with Beige)	1	CR-QUALITY_UNACCEPTABLE	Y	Amazon CS	RefundAtFirstScan	 	31-Jan-2026	1198.00	2	 	 	 	 	 	1200.50	Baby Product	54350513121179
408-7841547-9926706	22-Jan-2026	25-Jan-2026	Approved	DGSdsTJXRRMA	 	AmazonPrePaidLabel	184.00	INR	ATS	514912671369	Seller	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	IN-1929	31-Jan-2026	 	1	 	 	 	 	 	 	Baby Product	16151651538051
171-3777333-9261968	18-Jan-2026	24-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366649888455	Not Computed	N	N	B0DG92WXGM	BFFMBP	GET IT Breastfeeding Foam Pillow Premium 2 in 1 Baby with Detachable Cover | Newborn Nursing Pillow with Zip Buckle Adjustment | Infant Support for Baby and Mom Breastfeeding- Mickey Blue Print	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1849	28-Jan-2026	 	 	 	 	 	 	 	 	Home	39714815514099
403-1253820-2994768	19-Jan-2026	24-Jan-2026	Approved	DcFks3JCRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514914913948	Seller	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	04-Feb-2026	698.00	1	 	 	 	 	 	 	Baby Product	30959761509915
404-9851126-7925147	17-Jan-2026	24-Jan-2026	Approved	DG3CsWJtRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514911703641	Seller	N	N	B09WLF9LY8	PMW227	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	02-Feb-2026	499.00	1	 	 	 	 	 	499.00	Home	07633417197187
402-9572293-5514754	18-Jan-2026	24-Jan-2026	Approved	DdkLs0JVRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514911296624	Seller	N	N	B0C8KRVBJ2	ADSRFP227-G	GET IT Premium 2 in 1 Dry Sheet Cotton Baby Breastfeeding Pillow with Adjustable Strap | Nursing Pillow, Baby Support & Playtime | Washable Cover with Zip -(Grey)	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	RefundAtFirstScan	 	31-Jan-2026	698.00	1	 	 	 	 	 	698.00	Baby Product	47390258058715
404-1498038-3725167	18-Jan-2026	24-Jan-2026	Approved	DSmFs5JdRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514911168204	Seller	N	N	B07NKSDNRC	DUP- Wedge03	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Pink with Beige)	2	CR-MISSING_PARTS	Y	C-Returns	StandardRefund	 	 	1198.00	2	 	 	 	 	 	601.50	Baby Product	54350513121179
403-1516827-3550729	18-Jan-2026	24-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366649890496	Not Computed	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1864	24-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	16567307448707
407-0182194-4213101	12-Jan-2026	23-Jan-2026	Approved	Dy2BsMJTRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514910788601	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	28-Jan-2026	698.00	1	 	 	 	 	 	698.00	Baby Product	26381502291555
402-3444211-4066740	08-Jan-2026	22-Jan-2026	Approved	D6Z6s2J5RRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514909133788	Seller	N	N	B09WLF9LY8	PMW227	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	28-Jan-2026	499.00	1	 	 	 	 	 	499.00	Home	58627483451939
408-5814655-8341942	13-Jan-2026	22-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366528077949	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1774	27-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	45770758947059
171-8669558-4033152	15-Jan-2026	22-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366572385267	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1814	27-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	10172738637803
403-4303711-1403524	12-Jan-2026	22-Jan-2026	Approved	DMczskJfRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514908037902	Seller	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	31-Jan-2026	698.00	1	 	 	 	 	 	705.00	Baby Product	35474347063075
403-6326246-7904335	14-Jan-2026	21-Jan-2026	Approved	DJGksBJVRRMA	 	AmazonPrePaidLabel	115.00	INR	ATS	514906427682	Seller	N	N	B0D58K92GN	FFPNBP	GET IT Premium Baby Breast Feeding Pillow with Detachable Cover | Newborn Nursing Pillow with Zip Buckle Adjustment | Infant Support for Baby and Mom Breastfeeding-Navy Blue Print	1	CR-NOT_COMPATIBLE	Y	C-Returns	RefundAtFirstScan	 	27-Jan-2026	698.00	1	 	 	 	 	 	698.00	Baby Product	68026872686139
405-3669310-7227513	14-Jan-2026	20-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	166975299877	Not Computed	N	N	B07NLFYVQL	RLRP222	GET IT Long Body Rectangular Microfiber Pillow (Red, 20"x72" inches (i.e 50x180 Cms) [6 ft Long])	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1797	24-Jan-2026	 	 	 	 	 	 	 	 	Home	59449549679187
408-1822683-3225969	08-Jan-2026	20-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	166926695505	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1711	20-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	30302067660179
406-7308122-7257125	13-Jan-2026	20-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	166963476822	Not Computed	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-1773	20-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	23981264933395
403-2961907-9677922	08-Jan-2026	20-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366423833589	Not Computed	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-1708	20-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	37628003978875
408-9846171-8201951	13-Jan-2026	19-Jan-2026	Approved	DMSDQCJ7RRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514905077536	Seller	N	N	B07NKSDNRC	DUP- Wedge03	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Pink with Beige)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	Replacement	 	 	679.00	1	 	 	 	 	 	 	Baby Product	69493532420523
402-4404178-2398709	02-Jan-2026	19-Jan-2026	Approved	DMFBQ9JkRRMA	 	AmazonPrePaidLabel	184.00	INR	ATS	514903931922	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	CR-SWITCHEROO	N	Amazon CS	RefundAtFirstScan	 	31-Jan-2026	698.00	1	 	 	 	 	 	698.00	Baby Product	64408256044499
171-2666960-4657954	10-Jan-2026	18-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366489651165	Not Computed	N	N	B0C8PVTTRR	CRODA227-P	GET IT New Born Baby Cradle Metal Hanger Cradle for Baby,Kids Window Cradle Metal Hanger for Baby - Babies -Pink	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1733	22-Jan-2026	 	 	 	 	 	 	 	 	Baby Product	17415430874667
403-8602615-5713100	29-Dec-2025	18-Jan-2026	Approved	Dw1cQxJ3RRMA	 	AmazonPrePaidLabel	115.00	INR	ATS	514903238144	Seller	N	N	B09WLF9LY8	PMW227	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	1	CR-SWITCHEROO	N	Amazon CS	RefundAtFirstScan	 	27-Jan-2026	499.00	1	 	 	 	 	 	499.00	Home	26115096762459
403-2700647-7865947	07-Jan-2026	18-Jan-2026	Approved	D6DNQpJ1RRMA	 	AmazonPrePaidLabel	172.50	INR	ATS	514903008754	Seller	N	N	B0BXTC6NZ6	Aash_Star	GET IT Cotton Mutlipurpose 5 in 1 Baby Feeding Nursing Pillow with Adjustable Strap| for Breastfeeding, Baby Support & Playtime | Washable Premium Cotton Cover with Zip -(Aash Star)	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	StandardRefund	 	 	599.00	1	 	 	 	 	 	 	Baby Product	07200998077347
406-7690739-8129129	08-Jan-2026	18-Jan-2026	Approved	DX8dQ0JyRRMA	 	AmazonPrePaidLabel	621.00	INR	ATS	514902841055	Seller	N	N	B07NKSDNRC	DUP- Wedge03	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Pink with Beige)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	IN-1700	27-Jan-2026	599.00	1	 	 	 	 	 	589.00	Baby Product	48437923370819
402-1876182-5581913	10-Jan-2026	18-Jan-2026	Approved	DmM8Q4JqRRMA	 	AmazonPrePaidLabel	207.00	INR	ATS	514902341289	Seller	N	N	B0BXTC6NZ6	Aash_Star	GET IT Cotton Mutlipurpose 5 in 1 Baby Feeding Nursing Pillow with Adjustable Strap| for Breastfeeding, Baby Support & Playtime | Washable Premium Cotton Cover with Zip -(Aash Star)	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	RefundAtFirstScan	 	24-Jan-2026	599.00	1	 	 	 	 	 	599.00	Baby Product	54808962249795
407-9428526-4458719	02-Jan-2026	16-Jan-2026	Approved	DdYtQTJLRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514899611990	Seller	N	N	B09WLDWSVQ	PRBW227	GET IT Memory Foam Multi Use Wedge Pillow For Pregnancy Women And New Born Baby Lower Back-Pain Relief Knee Support Between Legs Anti Vomiting Milk Spitting (Royal Blue16 Inch X 14 3.5 Inch)	1	CR-FOUND_BETTER_PRICE	Y	C-Returns	RefundAtFirstScan	 	22-Jan-2026	499.00	1	 	 	 	 	 	499.00	Home	15857236416595
408-6652686-8938752	11-Jan-2026	15-Jan-2026	Approved	DwLfQpJHRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514899351025	Seller	N	N	B0BXTDF5RC	Blue_Star	GET IT Cotton 5-in-1 Feeding Pillow with Detachable Cover, New Born Breast Feeding Pillow Portable Pillow for Baby and Mom -(Blue Star)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	22-Jan-2026	598.00	1	 	 	 	 	 	598.00	Baby Product	48888206154979
404-0917968-1435549	09-Jan-2026	15-Jan-2026	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	366445110736	Not Computed	N	N	B0C8PPPDNS	MPWedge227-W	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1720	20-Jan-2026	 	 	 	 	 	 	 	 	Home	47633213229147
407-2154645-8303540	31-Dec-2025	14-Jan-2026	Approved	DJq6QPJGRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514898340419	Seller	N	N	B09WLF9LY8	PMW227	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	20-Jan-2026	499.00	1	 	 	 	 	 	499.00	Home	04809730386099
404-9459958-9896327	07-Jan-2026	14-Jan-2026	Approved	Dnvkc1JCRRMA	 	AmazonPrePaidLabel	207.00	INR	ATS	514897845656	Seller	N	N	B071XC7S5K	74-FB2A-AD9Q	GET IT Cotton 5-in-1 Feeding Pillow with Detachable Cover | New Born Portable Breast Feeding Pillow for Baby | Infant Support for Baby and Mom | Blue Star	1	CR-DAMAGED_BY_CARRIER	Y	Amazon CS	RefundAtFirstScan	 	20-Jan-2026	548.00	1	 	 	 	 	 	548.00	Baby Product	26041522888587
407-0487652-7566714	05-Jan-2026	14-Jan-2026	Approved	D3NNcLJ2RRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514897136259	Seller	N	N	B0DG9242TL	RFPNB227	GET IT Breastfeeding Pillow Cotton 5-in-1 Feeding Pillow with Detachable Cover, New Born Portable Pillow for Baby and Mom -(Navy Blue)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	20-Jan-2026	498.00	1	 	 	 	 	 	498.00	Home	30408428408339
402-4404178-2398709	02-Jan-2026	13-Jan-2026	Approved	D1D8c0JvRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514897159302	Seller	N	N	B0C8PTH3QF	CRODA227-B	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	698.00	1	 	 	 	 	 	 	gl_baby_product	64408256044499
408-4723244-3975522	11-Jan-2026	13-Jan-2026	Approved	D98pcMJ1RRMA	 	AmazonPrePaidLabel	103.50	INR	ATS	514895898036	Seller	N	N	B07NLF1PDY	PLRP221	GET IT Long Body Rectangular Microfiber Pillow (Pink, 20"x60" inches (i.e 50x150 Cms) [5 ft Long])	1	CR-SWITCHEROO	Y	C-Returns	RefundAtFirstScan	IN-1746	20-Jan-2026	1399.00	1	 	 	 	 	 	1389.00	gl_home	02511987890755
